,Confirmed Cases,Recovered,Deaths,Updated
GLOBAL,367457,100879,16113,23 March 2020 13:42:46 CDT
USA,41511,178,499,23 March 2020 13:42:46 CDT
INDIA,468,35,9,24 March 2020 00:12:46 IST
